fips,county,state_name,state_abbr,svi,risk,ml_risk
13003,Atkinson County,Georgia,GA,0.8444,0.2533,0.0
13005,Bacon County,Georgia,GA,0.889,0.2667,0.0
13007,Baker County,Georgia,GA,0.7162,0.2149,0.0
13009,Baldwin County,Georgia,GA,0.923,0.2769,0.0
13011,Banks County,Georgia,GA,0.3373,0.8012,1.0
13013,Barrow County,Georgia,GA,0.4887,0.1466,0.0
13015,Bartow County,Georgia,GA,0.454,0.1362,0.0
13017,Ben Hill County,Georgia,GA,0.9265,0.2779,0.0
13019,Berrien County,Georgia,GA,0.6748,0.9024,1.0
13021,Bibb County,Georgia,GA,0.9644,0.9893,1.0
13023,Bleckley County,Georgia,GA,0.7063,0.2119,0.0
13025,Brantley County,Georgia,GA,0.3974,0.1192,0.0
13027,Brooks County,Georgia,GA,0.9275,0.2782,0.0
13029,Bryan County,Georgia,GA,0.3115,0.0934,0.0
13031,Bulloch County,Georgia,GA,0.8374,0.2512,0.0
13033,Burke County,Georgia,GA,0.7483,0.2245,0.0
13035,Butts County,Georgia,GA,0.5565,0.1669,0.0
13037,Calhoun County,Georgia,GA,0.9688,0.2906,0.0
13039,Camden County,Georgia,GA,0.6618,0.1985,0.0
13043,Candler County,Georgia,GA,0.916,0.2748,0.0
13045,Carroll County,Georgia,GA,0.8428,0.2528,0.0
13047,Catoosa County,Georgia,GA,0.3086,0.0926,0.0
13049,Charlton County,Georgia,GA,0.8855,0.2656,0.0
13051,Chatham County,Georgia,GA,0.805,0.2415,0.0
13053,Chattahoochee County,Georgia,GA,0.6554,0.1966,0.0
13055,Chattooga County,Georgia,GA,0.9481,0.2844,0.0
13057,Cherokee County,Georgia,GA,0.1969,0.0591,0.0
13059,Clarke County,Georgia,GA,0.7502,0.2251,0.0
13061,Clay County,Georgia,GA,0.9061,0.2718,0.0
13063,Clayton County,Georgia,GA,0.9488,0.2846,0.0
13065,Clinch County,Georgia,GA,0.9348,0.2804,0.0
13067,Cobb County,Georgia,GA,0.3993,0.1198,0.0
13069,Coffee County,Georgia,GA,0.9609,0.2883,0.0
13071,Colquitt County,Georgia,GA,0.9847,0.6454,0.5
13073,Columbia County,Georgia,GA,0.23,0.069,0.0
13075,Cook County,Georgia,GA,0.9338,0.2801,0.0
13077,Coweta County,Georgia,GA,0.2402,0.0721,0.0
13079,Crawford County,Georgia,GA,0.6837,0.2051,0.0
13081,Crisp County,Georgia,GA,0.978,0.2934,0.0
13083,Dade County,Georgia,GA,0.4388,0.1316,0.0
13085,Dawson County,Georgia,GA,0.1861,0.0558,0.0
13087,Decatur County,Georgia,GA,0.9679,0.2904,0.0
